Solution_ID,Solution_Name,Short_Name,Category,Domain,Primary_PBMP_Layer,Primary_CLIPO_Phase,Lifecycle_Role,Purpose_Summary,Target_Audience_Summary,Processes_Enabled_Summary,Artifacts_Managed_Summary,Usage_Mode,Channels,Tech_Realization,Status,Notes
SOL-001,Business Analysis Manager,BAM,Business,Business Analysis,3,C L,Business authoring and governance,Manage business analysis artifacts and linked review approval flows,BA teams business leads,problem framing requirements shaping analysis review,analysis docs notes structured BA artifacts,design-time,web,PBMP-native integrations,Active,Present in latest populated inventory
SOL-002,Report Manager,RM,Business,Reporting Analytics,3,L O,Design operate reports,Create manage publish and govern reports,analysts managers,reporting approvals publishing,report definitions published reports,design-time runtime admin,web,PBMP-native integrations,Active,Present in latest populated inventory
SOL-003,Filter Manager,FM,Support,Reporting Support,3,L O,Filter lifecycle management,Define maintain and reuse filters,analysts admins,dashboard report filtering,filter definitions,design-time runtime admin,web,PBMP-native,Active,Present in latest populated inventory
SOL-004,Expressions Manager,EM,Support,Logic Expressions,3,L O,Expression authoring,Manage formulas expressions and calculated logic,analysts designers,computed fields expression rules,expressions formula blocks,design-time,web,PBMP-native,Active,Present in latest populated inventory
SOL-005,Formatting Manager,FoM,Support,Presentation,3,L O,Presentation control,Manage visual formatting styles and presentation rules,analysts designers,report dashboard styling,formatting rules themes,design-time,web,PBMP-native,Active,Present in latest populated inventory
SOL-006,Canvas Manager,CM,Support,Visualization Composition,3,L O,Composition surface,Control what gets placed on the canvas and how it is arranged,analysts designers,report dashboard composition,canvas layouts,design-time runtime render support,web,PBMP-native,Active,Present in latest populated inventory
SOL-007,Date Manager,DM,Support,Time Date Semantics,3,L O,Date handling,Manage date logic date dimensions and calendar behavior,analysts admins,filter logic time slicing,date rules calendar settings,design-time runtime admin,web,PBMP-native,Active,Present in latest populated inventory
SOL-008,Text Manager,TM,Support,Text Narrative,3,L O,Narrative authoring,Manage text blocks labels commentary and narrative content,analysts authors,report analysis authoring,text snippets annotations,design-time,web,PBMP-native,Active,Present in latest populated inventory
SOL-009,Charts Manager,ChM,Support,Charting,3,L O,Chart definition,Define and manage chart structures and chart behavior,analysts designers,reporting dashboards,chart configs,design-time runtime render support,web,PBMP-native chart libs,Active,Present in latest populated inventory
SOL-010,Diagram Manager,DiM,Support,Diagramming,3,C L,Diagram authoring,Create and manage diagrams and visual analytical models,analysts architects,conceptual logical modeling,diagrams relationship maps,design-time,web,PBMP-native diagram libs,Active,Present in latest populated inventory
SOL-011,Collaboration Manager,CoM,Support,Collaboration,3,Cross-cutting,Collaboration enablement,Support comments reviews sharing and collaboration workflows,all roles,review feedback coordination,comments tasks collaboration records,cross-phase,web email,PBMP-native integrations,Active,Present in latest populated inventory
SOL-012,Data Manager,DaM,Support,Data Metadata,3,L O,Data dependency support,Manage datasets metadata and data dependencies for solution flows,analysts admins,reporting dashboards model support,datasets mappings metadata,design-time runtime admin,web api,PBMP-native integrations,Active,Present in latest populated inventory
SOL-013,Dashboard Manager,DbM,Support,Dashboard Administration,3,L O,Dashboard lifecycle management,Manage dashboards widgets data sources and assignments,analysts admins,dashboard design and admin,dashboard defs widget configs,design-time runtime admin,web,PBMP-native,Active,Present in latest populated inventory
SOL-014,Approval Manager,ApM,Support,Workflow Governance,3,Cross-cutting,Approval control,Manage approvals review routing and decision gates,managers approvers,approval workflows,approval records,cross-phase,web email,PBMP-native,Active,Present in latest populated inventory
SOL-015,Publication Manager,PuM,Support,Publishing Distribution,3,O,Publication lifecycle,Publish governed artifacts to shared destinations,analysts admins,artifact publishing,published assets release packs,runtime admin,web email,PBMP-native integrations,Active,Present in latest populated inventory
SOL-016,Template Manager,TeM,Support,Reuse Standardization,3,L O,Template governance,Manage reusable templates and standard structures,authors designers,standardized creation flows,templates,design-time runtime admin,web,PBMP-native,Active,Present in latest populated inventory
SOL-017,Rules Manager,RuM,Support,Rules Constraints,3,L O,Rule governance,Manage business rules validation rules and constraints,analysts admins,governed execution,rules catalogs,design-time runtime admin,web api,PBMP-native,Active,Present in latest populated inventory
SOL-018,Version Manager,VeM,Support,Versioning Audit,3,Cross-cutting,Version control,Manage versions audit trails and history,all roles,governed change,versions snapshots audit trail,cross-phase,web,PBMP-native,Active,Present in latest populated inventory
