ID,Hierarchy,Parent,Name,Alias,Location,Description
1,1,-,FilterManager Page,FM_Page,app/page.tsx + app/FilterManager.tsx,Top-menu entry FilterManager opens this page component.
2,2,FilterManager Page,Top Navigation Hook,FM_MenuLink,app/page.tsx,selectedMenu === 'FilterManager' renders <FilterManager />.
3,2,FilterManager Page,FilterManager (Main Container),FM_Main,app/FilterManager.tsx,Main orchestration component for filter list CRUD and modal workflow.
4,3,FilterManager (Main Container),Header Action Bar,FM_HeaderActions,app/FilterManager.tsx,Refresh action and Create New Filter trigger.
5,3,FilterManager (Main Container),Filter List Section,FM_FilterListSection,app/FilterManager.tsx,Displays all filters with selection controls and bulk actions.
6,4,Filter List Section,Filter List Item Card,FM_FilterCard,app/FilterManager.tsx,Per-filter card with metadata badges and action buttons.
7,5,Filter List Item Card,Edit Action,FM_ActionEdit,app/FilterManager.tsx,Opens modal in edit mode for selected filter.
8,5,Filter List Item Card,Duplicate Action,FM_ActionDuplicate,app/FilterManager.tsx,Clones selected filter and saves as a new record.
9,5,Filter List Item Card,Delete Action,FM_ActionDelete,app/FilterManager.tsx,Deletes selected filter via API flow.
10,3,FilterManager (Main Container),Summary Panel,FM_SummaryPanel,app/FilterManager.tsx,Shows aggregate counts like Total Active and With API.
11,3,FilterManager (Main Container),Quick Actions Panel,FM_QuickActions,app/FilterManager.tsx,Select All and Clear Selection operations.
12,3,FilterManager (Main Container),Create/Edit Modal Shell,FM_FilterModalShell,app/FilterManager.tsx,Overlay modal host for create or edit filter flows.
13,4,Create/Edit Modal Shell,ThemeProvider Wrapper,FM_ThemeProvider,app/FilterManager.tsx + app/BasicTab.tsx,Wraps modal content with theme context and root dark class support.
14,4,Create/Edit Modal Shell,BasicTab Editor,FM_BasicTabEditor,app/FilterManager.tsx + app/BasicTab.tsx,Main filter editor form component used for both create and edit.
15,5,BasicTab Editor,Tab Navigation,FM_BasicTabNav,app/BasicTab.tsx,Switches between editing areas basic styling events validation options and queryBuilder.
16,6,Tab Navigation,Basic Tab Content,FM_TabBasic,app/BasicTab.tsx,Core filter properties like name type field default and visibility settings.
