ID,Hierarchy,Parent,Name,,Alias,Purpose,Input,High Level Logic,Output,Maps_To_SOL
1,1,-,FilterManager Page,,FM_Page,Open filter administration page,Top menu click on FilterManager,Routes selected menu state to FilterManager component,FilterManager UI loads,SOL-003
2,2,FilterManager Page,Top Navigation Hook,,FM_MenuLink,Connect menu selection to page rendering,selectedMenu value from app nav,Checks selectedMenu equals FilterManager then renders component,FilterManager mount point,SOL-003
3,2,FilterManager Page,FilterManager Main Container,,FM_Main,Orchestrate filter list and modal workflows,None internal state + API responses,Maintains state for filters loading error selection editing and modal,Interactive filter management screen,SOL-003
4,3,FilterManager Main Container,fetchFilters API Loader,,FM_FetchFilters,Load and normalize filters from backend,GET get_filters.php,Calls API maps response fields parses JSON fields sorts by position,Populated filters array,SOL-003
5,3,FilterManager Main Container,saveFilter API Handler,,FM_SaveFilter,Create or update filter payload in backend,Filter form data + edit mode,Builds payload stringifies JSON fields posts to api.php then refreshes list,Filter persisted and list refreshed,SOL-003
6,3,FilterManager Main Container,deleteFilter API Handler,,FM_DeleteFilter,Delete filter record from backend,Filter ID,Posts ID to delete_filter.php and refreshes list on success,Filter removed from list,SOL-003
7,3,FilterManager Main Container,duplicateFilter Handler,,FM_Duplicate,Clone existing filter quickly,Existing filter object,Copies filter strips ID/timestamps adjusts name and position then saves as new,New copied filter created,SOL-003
8,3,FilterManager Main Container,Header Action Bar,,FM_HeaderActions,Expose top-level quick actions,Refresh click + Create New Filter click,Triggers fetchFilters or opens modal in create mode,Data refresh or create modal open,SOL-003
9,3,FilterManager Main Container,Filter List Section,,FM_FilterList,Show all filters with operations,filters state array,Iterates filters renders each card with status badges and actions,Visible filter cards,SOL-003
10,4,Filter List Section,Filter List Item Card,,FM_FilterCard,Represent one filter summary and actions,Single filter row data,Renders checkbox metadata badges fields timestamps and action buttons,Editable/deletable filter item,SOL-003
11,5,Filter List Item Card,Multi Select Checkbox,,FM_SelectCheckbox,Allow bulk operation selection,Checkbox interactions,Adds/removes filter ID from selectedFilters array,Bulk selection state,SOL-003
12,5,Filter List Item Card,Edit Action,,FM_ActionEdit,Open filter in edit mode,Clicked filter card edit icon,Sets editingFilter and opens modal,Edit form with prefilled data,SOL-003
13,5,Filter List Item Card,Duplicate Action,,FM_ActionDuplicate,Clone selected filter,Clicked filter card duplicate icon,Calls duplicateFilter helper then save flow,New copied filter entry,SOL-003
14,5,Filter List Item Card,Delete Action,,FM_ActionDelete,Delete selected filter,Clicked filter card delete icon + confirmation,Calls deleteFilter handler and backend delete API,Filter removed,SOL-003
