"SheetSection","Seq","Phase","Trigger/Event","Source File","Primary Function/Block","Function Type","Inputs/Parameters","Library/API Used","Library Function Call","Assigned/Updated Variables","Return Value","Next Function/Effect Triggered","UI Impact (Dashboard Tab Only)","Notes/Conditions"
"Entry","1","Navigation","User clicks top nav DashboardManager","app/page.tsx","DashboardManager nav button onClick","Event handler","setSelectedMenu('DashboardManager'), setAboutSubMenuOpen(false)","React","useState setter","selectedMenu='DashboardManager', aboutSubMenuOpen=false","void","Conditional render branch evaluates selectedMenu","DashboardManager screen becomes active","Start point before DashboardManager mount"
"Entry","2","Component selection","selectedMenu state changes to DashboardManager","app/page.tsx","Ternary render branch for selectedMenu","Render condition","selectedMenu","React","JSX conditional rendering","renders <DashboardManager />","React element","DashboardManager component mounts","Dashboard Manager page visible","Only this branch relevant for requested flow"
"Imports","3","Module load","DashboardManager module evaluation","app/DashboardManager.tsx","Top-level imports","Module import","import React,{useEffect,useState,useRef}","react","useState/useEffect/useRef","Hooks become available in component scope","Imported symbols","Hooks used in all following steps","No direct UI change","Core library for state/effects"
"Imports","4","Module load","DashboardManager module evaluation","app/DashboardManager.tsx","Top-level imports","Module import","import GridLayout from react-grid-layout","react-grid-layout","GridLayout component","GridLayout symbol available","Imported symbol","Used in Selected Dashboard panel","Widget grid render in Dashboard tab","Used when widgets exist"
"Imports","5","Module load","DashboardManager module evaluation","app/DashboardManager.tsx","Top-level imports","Module import","import CSS files","react-grid-layout/react-resizable","CSS side-effect imports","layout/resizable CSS loaded","void","Styling applied at render","Dashboard cards/grid styled","Presentation only"
"Imports","6","Module load","DashboardManager module evaluation","app/DashboardManager.tsx","Top-level imports","Module import","import ContextMenuTab, AssignFiltersTab, dynamic, ReactDOM","next/dynamic, react-dom","dynamic(...)","symbols available","Imported symbols","Indirect; dashboard tab mostly unaffected","No immediate dashboard list change","Included for completeness"
"Types","7","Static typing","Module parse stage","app/DashboardManager.tsx","Dashboard interface","Type declaration","id,name,description,type,page_name,tab_name,is_default,is_active,created_at,etc.","TypeScript","Interface typing","Data shape constraints for dashboard objects","Type only","Used by state, forms, API parsing","Determines card and modal fields","No runtime return"
"API Utility","8","URL build","Any apiFetch call","app/DashboardManager.tsx","buildApiUrl(path)","Utility function","path string like '/dashboards'","JS string/encodeURIComponent","replace/split/encodeURIComponent","cleaned,resourcePart,queryPart,url","string URL","Returned URL passed into fetch","No direct UI change","For '/dashboards' -> API_BASE?resource=dashboards"
"API Utility","9","HTTP wrapper","loadDashboards/loadWidgets/save/delete calls","app/DashboardManager.tsx","apiFetch<T>(path,options)","Async utility","path, RequestInit options","Browser Fetch API","fetch(url,fetchOpts), Response.text(), JSON.parse()","url,method,baseHeaders,fetchOpts,text,data","Promise<T> or throws Error","Caller catch/finally branches execute","Errors surface in dashboard error banner","Adds Content-Type automatically when body exists"
"State Init","10","Initial render","DashboardManager mount start","app/DashboardManager.tsx","DashboardManager component body","Component execution","none","React","useState(...)","dashboards=[], selectedDashboard=null, widgets=[], layout=[], loading=true, activeTab='dashboards', showDashboardModal=false, dashboardForm={}","State tuple values","Effects are registered post-render","Spinner shown until loading=false","Initial values drive first Dashboard tab behavior"
"State Init","11","Initial render","DashboardManager mount start","app/DashboardManager.tsx","Additional state init","Component execution","none","React","useState(...)","error=null, draggedWidget=null, isDragMode=false, dataSources=[], widgetApiData={}, widgetLoadingState={}, widgetErrors={}","State tuple values","Later used by selected dashboard widget area","No immediate dashboard card data","Included because they affect dashboard tab lower pane"
"Layout Width","12","Mount effect","After first render","app/DashboardManager.tsx","React.useEffect updateWidth block","Effect","containerRef","React + DOM","getBoundingClientRect(), addEventListener('resize')","gridWidth set from container rect","void (cleanup removes listener)","Re-runs on window resize","Can affect grid sizing behavior in selected dashboard area","Dashboard list cards not directly dependent"
"Data Bootstrap","13","Mount effect","After first render ([] deps)","app/DashboardManager.tsx","Bootstrap async IIFE","Effect orchestration","await loadDashboards(); await loadDataSources(); await loadFilters(); await loadDashboardFilterMappings(); await fetchContextMenus(); await fetchWidgetContextMenuAssignments();","React effect scheduling","useEffect(...,[])","No direct assignment here; calls assign states in each loader","Promise<void>","loadDashboards runs first in sequence","Critical start-to-end data flow kickoff","Dashboard tab depends primarily on first loader"
"Dashboards Load","14","Network start","Called from bootstrap effect","app/DashboardManager.tsx","loadDashboards() entry","Async domain function","none","React state + apiFetch","setLoading(true), setError(null)","loading=true, error=null","Promise<void>","apiFetch<Dashboard[]>('/dashboards')","Spinner remains visible","Start of dashboard list fetch"
"Dashboards Load","15","Network call","Inside loadDashboards","app/DashboardManager.tsx","apiFetch<Dashboard[]>('/dashboards')","Async call","path='/dashboards'","Custom apiFetch + Fetch API","buildApiUrl('/dashboards'), fetch(url,opts)","data receives parsed JSON array or [] fallback later","Promise<Dashboard[]>","Then setDashboards(data||[])","List source data retrieved","URL resolves to API_BASE?resource=dashboards"
"Dashboards Load","16","State assignment","After successful dashboard fetch","app/DashboardManager.tsx","loadDashboards success block","State update","data from API","React","setDashboards(data || [])","dashboards updated to fetched list","void","Selection reconciliation block executes","Dashboard cards map source prepared","If null/undefined, empty array assigned"
"Selection Logic","17","Selection reconciliation","After dashboards assignment","app/DashboardManager.tsx","setSelectedDashboard(prev => ...)","Functional state update","prev selected dashboard + new data","React","state updater callback","If !prev -> first dashboard; if prev exists in data -> keep prev; else -> first dashboard; if no data -> null","Dashboard|null","selectedDashboard?.id effect may fire","Selected card highlight and lower panel target chosen","Prevents unnecessary widget reload if existing selection still valid"
"Dashboards Load","18","Error path","If fetch/parse/API fails","app/DashboardManager.tsx","loadDashboards catch","Error handling","caught error e","Console + React","console.error, setError(...)","error set to e.message or fallback","void","render error banner path","Red error alert shown above tabs content","Dashboard cards not shown if loading fails"
"Dashboards Load","19","Finalize","Always after try/catch","app/DashboardManager.tsx","loadDashboards finally","Finalize state","none","React","setLoading(false)","loading=false","void","Main render switches from spinner to content","Dashboard tab content region displayed","Key transition from spinner to list view"
"Widgets Auto-load","20","Dependent effect","selectedDashboard?.id changes","app/DashboardManager.tsx","useEffect([selectedDashboard?.id])","Effect","selectedDashboard id","React","if selectedDashboard loadWidgets(id) else setWidgets([])","widgets either fetched for selected dashboard or cleared","void","loadWidgets invoked when selected exists","Selected Dashboard panel shows corresponding widgets","Automatic after initial selection"
"Tab Gate","21","Render gate","Every render post-loading","app/DashboardManager.tsx","activeTab conditional","Render condition","activeTab state","React JSX","{activeTab==='dashboards' && ...}","No mutation; condition check only","Boolean branch","Dashboard tab subtree mounts when true","Dashboard cards + selected dashboard panel visible","activeTab default is dashboards so this path is initial"
"Header Action","22","User action","Click Create Dashboard button in header","app/DashboardManager.tsx","openCreateDashboard()","Event handler","none","React","setDashboardForm(...defaults), setShowDashboardModal(true)","dashboardForm={type:'STANDARD',page_name:'',tab_name:'',is_default:false,is_active:true,name:'',description:''}; showDashboardModal=true","void","DashboardModal rendered","Create Dashboard modal opens","Default values are explicit assignments"
"Tab Control","23","User action","Click Dashboards tab button","app/DashboardManager.tsx","setActiveTab('dashboards')","Event handler","target tab key","React","useState setter","activeTab='dashboards'","void","Dashboard branch remains/returns active","Ensures dashboard list view visible","No network call on this specific button"
"List Render","24","Render list","Dashboard tab branch active","app/DashboardManager.tsx","dashboards.map(d => <DashboardCard ...>)","Render loop","dashboards array","React","Array.map","for each d: passes props key, dashboard, onSelect,isSelected,onDragOver,onDrop,onEdit,onDelete","React elements list","Card-level event handlers become active","Grid of dashboard cards rendered","If dashboards.length===0 shows 'No dashboards created'"
"Card View","25","Per-card rendering","DashboardCard component render","app/DashboardManager.tsx","DashboardCard props usage","Presentational render","dashboard,onSelect,isSelected,onEdit,onDelete,onDragOver,onDrop","React + JS Date","new Date(dashboard.created_at).toLocaleDateString()","reads dashboard.name,description,type,created_at,is_default; className includes selected ring when isSelected","JSX element","User can click card/edit/delete/drop","Card shows name/description/type/date/default","Edit/Delete buttons stop propagation to avoid selecting card"
