"Seq","Phase","Trigger/Event","Source File","Function/Block","Inputs/Parameters","Pre-State","Action/Logic","Library/API Used","API URL","Success Path","Error Path","Post-State","UI Impact (Dashboard Tab Only)","Next Trigger"
"1","Navigation","User clicks DashboardManager top nav","app/page.tsx","DashboardManager button onClick","setSelectedMenu('DashboardManager'), setAboutSubMenuOpen(false)","selectedMenu != DashboardManager","Set menu key to DashboardManager and close submenu","React useState","N/A","State updates accepted by React scheduler","N/A","selectedMenu='DashboardManager'; aboutSubMenuOpen=false","DashboardManager view route selected","Render condition for selectedMenu"
"2","Component Mount","selectedMenu matches DashboardManager","app/page.tsx","Conditional branch renders <DashboardManager />","selectedMenu","DashboardManager not mounted in current frame","Instantiate DashboardManager component tree","React render engine","N/A","DashboardManager mounts","N/A","DashboardManager initial render cycle begins","Dashboard Manager screen visible","DashboardManager useState/useEffect initialization"
"3","State Initialization","First DashboardManager render","app/DashboardManager.tsx","Component state declarations","useState initial values","No local component state instance yet","Initialize dashboard-related states","React hooks","N/A","State handles created","N/A","dashboards=[]; selectedDashboard=null; widgets=[]; layout=[]; loading=true; activeTab='dashboards'; error=null; modal flags false","Spinner branch eligible; dashboard tab default selected","Mount effects execute"
"4","Bootstrap Effect Start","useEffect([]) executes after mount","app/DashboardManager.tsx","Bootstrap async IIFE","loadDashboards -> loadDataSources -> loadFilters -> loadDashboardFilterMappings -> fetchContextMenus -> fetchWidgetContextMenuAssignments","Initial state from seq 3","Run startup loaders in await sequence","React useEffect + async/await","Multiple (see specific rows)","First awaited call starts with loadDashboards","Any loader catch sets error in respective function","Intermediate states update per loader","Data hydration begins for dashboard tab and selected panel","loadDashboards()"
"5","Dashboards Load Begin","Called inside bootstrap","app/DashboardManager.tsx","loadDashboards() entry","none","loading may be true already; error could be stale from prior actions","setLoading(true); setError(null)","React state setters","N/A","Load operation prepared","N/A","loading=true; error=null","Spinner shown while data loads","apiFetch('/dashboards')"
"6","Dashboard API Request","Inside loadDashboards try","app/DashboardManager.tsx","apiFetch<Dashboard[]>('/dashboards')","path='/dashboards', default method GET","dashboards possibly empty/stale","Build URL, create fetch options, call fetch, parse JSON","Custom apiFetch + Fetch API","https://intelligentsalesman.com/ism1/API/dashboard_manager/api/index.php?resource=dashboards","Returns parsed Dashboard[]","Throws Error on non-OK/network/parse issues","data variable populated with response","No immediate visual change until state set","setDashboards(data||[])"
"7","Dashboard Data Assign","After successful API response","app/DashboardManager.tsx","setDashboards(data || [])","data from seq 6","dashboards old value","Replace dashboard list with latest API data","React state setter","N/A","Dashboard list state updated","N/A","dashboards now reflect backend list","Dashboard cards can render from fresh list","Selection reconciliation callback"
"8","Selection Reconciliation","Still inside loadDashboards success","app/DashboardManager.tsx","setSelectedDashboard(prev => ...)","prev selected + new data array","selectedDashboard may be null/stale/deleted","If no prev select first; if prev exists in new data keep prev; if missing select first; if no data set null","React functional state update","N/A","Stable/valid selected dashboard resolved","N/A","selectedDashboard becomes first/kept/null based on logic","Selected card highlight + selected panel target determined","selectedDashboard?.id effect"
"9","Dashboard Load Error Branch","If dashboard API fails","app/DashboardManager.tsx","loadDashboards catch","caught error e","error may be null","Log and assign user-facing error","Console + React","Same as seq 6 request URL","N/A","setError(e.message || 'Failed to fetch dashboards')","error populated; dashboards remain previous/empty","Red error banner appears in dashboard tab area","finally block"
"10","Dashboard Load Finalize","Always after try/catch","app/DashboardManager.tsx","loadDashboards finally","none","loading=true","setLoading(false)","React state setter","N/A","Content branch becomes renderable","N/A","loading=false","Spinner hidden; dashboard content can render","Dashboard tab render branch"
